transcript_id,SRR633516,SRR633540,SRR633541,SRR633544,SRR633545
ENSDART00000145445,1713,857,698,821,15
ENSDART00000146682,0,0,9,13,0
ENSDART00000140189,0,0,0,0,3
ENSDART00000101586,50,59,43,19,25
ENSDART00000184465,7,3,13,2,1
ENSDART00000054925,79,18,29,23,25
ENSDART00000146238,2,0,0,2,2
ENSDART00000134213,25,12,13,7,5
ENSDART00000103588,0,0,0,0,0
ENSDART00000012627,0,0,0,0,0
ENSDART00000009315,0,0,0,0,0
ENSDART00000110696,0,0,0,0,0
ENSDART00000131454,0,0,0,0,0
ENSDART00000134989,23,34,27,47,38
ENSDART00000085203,64,28,23,25,40
ENSDART00000131426,1,1,0,1,1
ENSDART00000013264,302,267,232,202,191
ENSDART00000152542,37,38,27,22,20
ENSDART00000163488,37,12,21,21,15
ENSDART00000190070,55,56,27,47,47
ENSDART00000110154,0,0,0,0,0
ENSDART00000145460,0,1,3,0,0
ENSDART00000167126,105,68,64,77,58
ENSDART00000147383,0,0,0,19,0
ENSDART00000177068,19,15,14,0,11
ENSDART00000180877,0,1,0,0,0
MSTRG.120.1,35,25,16,20,16
ENSDART00000185682,1,0,1,0,0
ENSDART00000130915,1,1,0,0,0
ENSDART00000146090,0,0,0,0,0
ENSDART00000138187,0,0,0,0,0
ENSDART00000144582,0,0,0,0,0
ENSDART00000188909,8,15,0,0,0
MSTRG.122.2,8,0,0,0,0
ENSDART00000141765,6,0,0,0,0
ENSDART00000177051,0,0,0,0,0
ENSDART00000143881,0,0,0,0,6
MSTRG.123.2,0,0,0,0,8
MSTRG.123.5,0,0,0,6,0
ENSDART00000161938,663,421,451,540,500
MSTRG.123.4,39,23,3,21,25
ENSDART00000152192,0,0,0,0,0
ENSDART00000112160,37,19,22,10,7
ENSDART00000091508,159,122,67,235,94
MSTRG.125.2,128,60,106,0,92
ENSDART00000152295,2,10,2,5,7
ENSDART00000136654,14,17,14,0,0
MSTRG.127.1,4,0,0,0,0
ENSDART00000168631,27,14,0,0,0
ENSDART00000160440,17,15,0,22,25
ENSDART00000121823,250,158,145,278,248
ENSDART00000138435,2,2,3,2,1
ENSDART00000143547,0,0,0,0,0
ENSDART00000183730,0,0,0,0,0
ENSDART00000184518,0,0,0,0,0
ENSDART00000152547,0,5,0,4,0
ENSDART00000091683,210,149,136,222,241
ENSDART00000121439,0,0,0,0,0
ENSDART00000103626,143,83,94,63,71
